word	frq	familiarity	imageability	concreteness	
bomberos	4.317080	6.007	6.221	6.005	
cadáver	12.382554	4.409	5.744	5.512	
cansancio	2.111562	5.833	6.105	3.958	
caricia	0.635447	5.802	5.173	5.337	
casamiento	2.791514	4.472	5.306	4.684	
celebración	4.977252	4.997	5.749	4.404	
cementerio	6.324795	6.039	6.406	6.344	
cenizas	5.063792				
cifras	3.451686				
cumpleaños	19.310652	6.874	5.521	5.891	
descontrol	0.220057				
despedida	9.363564				
dictadura	0.828306	4.863	4.406	4.559	
dios	85.028682	5.452	3.855	3.245	
enfermera	10.988033	6.403	6.673	6.597	
estrés	5.583028	5.424	4.123	4.402	
falsas	5.897043				
familia	62.600138	6.387	6.121	5.337	
fiesta	39.939175	6.750	6.273	4.698	
fiestas	11.514687				
fosa	1.540402	2.946	5.662	5.084	
funeral	11.044902	5.678	5.902	6.011	
gracias	95.225497				
hermana	36.420730	6.051	5.876	5.524	
hermano	47.057660	6.673	6.486	5.993	
héroes	6.233310				
iglesia	16.543863	4.677	5.713	5.662	
impacto	6.705568	4.799	4.363	4.197	
insomnio	1.367323	5.971	4.213	5.195	
lágrimas	9.529226				
metas	11.687766				
navidad	14.402631	6.179	5.357	5.737	
objetivos	5.155276				
planes	22.987341				
posponer	1.515676				
primos	3.214321				
reunión	26.861834	5.691	5.293	4.466	
rezar	6.300069	5.985	4.715	5.503	
saludo	4.636040	6.487	5.295	4.400	
sexo	26.686282	6.719	5.678	4.949	
sostén	4.613787	5.953	5.157	5.630	
suspender	1.812383	5.961	5.770	5.015	
tíos	10.162200				
tumba	12.226783	4.877	6.024	5.601	
velitas	0.187914				
velorio	0.331322				
vida	92.592226	6.544	4.094	3.822	
visitas	9.863020				
aeropuerto	11.635842	5.719	6.356	6.118	
alarma	9.667689	6.245	5.776	4.616	
almohada	5.019286	6.184	6.587	5.938	
asado	3.194541	6.163		5.371	
auto	34.296805	5.301	5.803	3.877	
avión	20.227970	6.310	5.810	6.249	
bailar	19.090594	6.419	5.792	5.064	
balanza	1.342597	5.470	6.008	5.888	
bar	22.149144	6.411	6.683	6.054	
bicicleta	6.601721	6.076	6.578	6.800	
café	36.153694	7.000		6.203	
calzas	0.365938				
caminar	20.895559	6.672	5.185	4.822	
celular	10.552863				
cerveza	21.434576	6.532	6.395	6.026	
cine	15.811987	6.770	6.575	5.766	
cita	30.911878	4.645		5.862	
club	21.899416	5.873	4.993	5.201	
cocinar	8.475917				
colectivo	1.372268	5.033	3.850	3.908	
colegio	16.768866				
comer	52.146177	6.914	6.304	5.590	
comprar	35.340224	6.449	4.744	4.019	
corbata	6.386609	5.547	6.148	6.545	
correr	24.159331	6.481	5.600	4.640	
dentista	3.582732				
deporte	6.104737	6.061	5.442		
desayuno	15.925724	5.990	6.460	5.808	
despertador	1.362378	6.463	6.641	6.038	
dibujar	2.821185	6.502	5.798	5.194	
dibujitos	0.225002				
dormir	46.889526	6.676	6.186	5.776	
empleo	13.243003	5.642	4.537	5.303	
engordar	1.095342	5.979	5.615	5.402	
entrenar	3.926417				
farmacia	3.431906	6.199	5.836	6.390	
fútbol	10.092968	6.403	6.289	5.683	
gato	14.244387				
gimnasio	6.144298	6.288	6.492	6.135	
hornear	0.684898				
invierno	10.666601				
jardín	15.263080	6.219	5.864	6.261	
jeans	1.575017				
jogging	0.197804				
juegos	15.258135				
lavar	7.385521	6.394	5.955	4.986	
llamada	40.683414	5.829	4.541	4.394	
luz	45.129067	6.749	6.191	4.680	
mañana	81.616556	6.448	5.059	4.861	
mar	15.453467	6.545	6.050	6.293	
mascota	4.190980				
mate	11.719909				
mercado	15.364455	6.012	5.737	5.256	
mirar	32.647612	6.655	5.118	4.690	
museo	6.290179	6.181	6.279	5.585	
música	29.262684	6.653	5.214	4.897	
naturaleza	18.378499	5.892	5.841	3.784	
noche	86.408367	6.649	5.389	5.814	
oficina	39.832855	5.653	6.043	5.241	
ojotas	0.042033				
ómnibus	0.662645				
pantalla	9.613292	6.242	5.551	4.929	
pantuflas	0.652754				
pasear	7.697063	6.754	5.342	4.879	
patio	10.016319	5.898	6.772	6.091	
películas	13.663337				
pelota	10.080605	6.519	6.211	5.920	
peluquería	1.906340	5.496	5.880	6.229	
perro	29.653348	6.639	6.573	6.443	
pijama	2.766789				
platos	8.325091				
plaza	7.632776	6.443	5.828	5.634	
recital	1.078034				
restaurant	1.621996				
rutina	7.538819	5.027	3.980	4.528	
siesta	5.320938	5.888	4.784	5.511	
sincrónico	0.037088				
sol	29.603897	6.652	6.526	6.157	
sueño	33.409158	6.523	5.127	4.054	
supermercado	3.815152	6.501	6.618	5.522	
tarde	79.148947	6.616	5.115	3.598	
tarea	14.607853	5.875	4.391	3.677	
tarjeta	18.702403	6.475	5.240	4.607	
taxi	14.726535	6.067	6.654	6.318	
teatro	10.738305	5.915	6.030	6.034	
teléfono	44.122738	6.954	6.723	6.420	
televisión	16.425180	6.420	6.377	6.235	
termo	0.561270				
termómetro	0.786272				
trabajo	86.499852	6.176	5.187	4.965	
trago	21.301058	5.739	4.620	4.172	
traje	35.181980	6.423	5.943	5.318	
tren	19.009000	6.659	6.528	6.188	
turismo	1.589853	5.376	5.311	4.472	
vacaciones	18.865592	5.670	4.893	5.687	
verano	18.383444	6.823	5.968	5.213	
viajar	13.468005	6.487	6.180	5.289	
videojuegos	1.589853				
youtube	0.932153				
zapatos	21.800514				
gol	1.814855				
cancha	2.146177				
partido	18.331520	6.043	5.626	3.586	
tribuna	0.707151	4.132	5.317	5.191	
estadio	3.145090	4.531	4.972	4.312	
gestión	1.206607	4.734	2.807	2.718	
publicación	1.191771	5.282	4.680	4.149	
piedra	14.155375	6.421	6.237	6.299	
volar	18.455148	5.322	4.969	5.479	
prosa	0.484621	5.136	4.251	5.002	
italiano	5.988527	5.318	6.414	5.605	
agente	23.936802	4.961	4.510	3.463	
capitán	21.691722	4.091	5.428	5.326	
dorada	2.972011	5.346	5.529	4.137	
pieza	13.134210	5.231	4.634	3.405	
vegetación	0.803580	5.572	5.949	3.817	
rayo	6.989912	5.899	6.224	5.596	
repetición	1.542874	5.778	4.203	4.469	
sala	29.987143	5.998	6.055	4.617	
serpiente	6.218475	4.155	6.195	6.051	
ley	25.922263	4.963	2.926	4.732	
torre	7.590743	5.814	6.139	5.717	
relieve	0.378301	4.356	5.059	4.365	
margen	6.211057	5.294	4.131	4.061	
llegada	9.393235	6.034	4.158	4.172	
guía	10.488577	5.187	5.119	4.075	
superficie	7.472060	5.396	4.702	3.920	
bahía	3.978340	3.978	5.278	5.506	
academia	5.098408	6.247	5.378	4.765	
segundo	44.444170	5.485	2.690	4.477	
capital	7.059144	6.146	3.614	3.860	
experto	10.968252	5.233	3.606	4.283	
participación	3.419543	5.686	3.669	4.179	
cuello	24.112353	6.017	5.825	5.772	
frontal	2.314311	4.683	3.422	3.994	
campamento	9.086638	5.325	5.937	5.421	
pintor	2.747008	5.878	6.062	5.958	
fiscal	8.364652	3.488	4.717	5.442	
señal	27.806350	5.532	4.806	4.299	
carretera	13.824053	6.379	6.226	6.043	
montaña	11.423202	6.371	5.122	5.996	
juez	13.213332	5.381	5.963	6.008	
piel	22.490357	6.231	6.465	5.295	
alemán	6.648699	4.706	4.885	5.145	
cultivo	1.720898	5.021	5.510	4.542	
profesión	6.866284	5.715	4.607	3.995	
voz	35.285827	6.206	4.913	5.167	
encargado	8.911087	5.421	4.444	4.445	
peso	17.478489	6.498	4.825	4.363	
rincón	4.569281	6.099	4.981	5.776	
mitología	1.045891	4.722	3.564	3.611	
mozo	2.848383	5.765	6.059	4.870	
signo	5.412422	6.138	5.134	3.885	
pecho	16.254574	6.132	6.256	6.088	
planta	10.861933	6.600	5.946	5.110	
media	35.844625	6.152	5.300	2.961	
niño	50.135991	6.513	6.390	6.177	
justificación	1.008802	5.067	3.390	4.046	
cliente	17.837009	6.339	5.265	5.046	
conservación	0.803580	4.559	3.755	3.316	
acelerar	2.603600	5.977	4.862	4.983	
pintura	9.746810	5.027	6.260	4.450	
lluvia	12.980912	5.786	6.331	6.016	
paquete	12.006725	5.987	6.281	4.762	
cubiertos	3.263772	6.206	6.167	4.979	
publicidad	7.677282	6.239	6.122	5.237	
dragón	3.130254	4.205	5.882	6.006	
fondo	27.873108	5.238	4.873	4.050	
verbo	0.677480	5.524	3.289	4.274	
gasolina	8.211354	6.467	4.754	6.221	
tipo	78.496192	4.720	2.597	2.186	
rueda	7.363268	6.339	6.479	6.077	
universidad	23.771140	6.639	6.231	6.085	
matemático	1.053308	5.601	4.073	4.509	
ferrocarril	2.044803	6.036	6.310	6.099	
socio	10.481159	5.143	3.803	5.133	
palabra	49.812086	6.685	5.201	4.228	
guardián	4.003066	3.788	6.015	5.219	
equivalente	2.010187	4.806	3.547	3.561	
dividir	2.591237	6.090	4.771	4.526	
radiación	3.515973	5.086	2.630	4.462	
polo	2.972011	5.610	5.132	4.084	
tecnología	9.207793	5.791	3.877	3.595	
generar	1.923648	5.556	2.754	3.112	
vasco	0.234893	4.520	4.767	4.392	
avenida	5.293739	5.639	5.377	5.494	
párrafo	1.347542	6.455	5.860	5.802	
llanura	0.843141	4.759	5.524	5.263	
sindicato	2.964593	5.275	3.328	4.966	
bosque	13.712788	5.044	6.239	5.902	
cristal	8.597072	6.638	5.703	5.879	
toro	3.817624	5.523	5.858	6.264	
nave	9.314113	5.324	5.561	5.256	
representación	3.360202	5.529	3.525	2.738	
jurado	9.553951	5.791	4.662	5.221	
circuito	3.535753	4.672	5.144	4.601	
semejanza	0.887647	4.695	3.630	3.571	
receptor	1.614578	5.803	4.398	5.081	
luna	19.634556	5.960	5.749	6.282	
rancho	2.806350	3.766	5.313	4.975	
barba	5.857482	6.768	6.055	6.173	
tira	13.527346	5.754	5.077	3.407	
pantalón	2.984373	6.267	6.370	6.343	
carnero	0.548907	3.689	5.657	6.033	
placa	7.630304	5.480	5.207	3.404	
encuesta	1.233805	5.586	5.175	5.249	
centenario	0.244783	4.206	3.772	5.012	
reloj	16.660073	6.768	6.043	6.518	
gerente	6.047869	3.838	4.164	5.997	
claro	83.592127	6.378	3.954	3.740	
balcón	2.944813	5.710	6.176	6.032	
pagar	36.714964	6.202	5.152	5.119	
banco	18.081792	6.371	5.711	4.856	
quinta	2.974483	5.156	4.063	4.350	
libro	30.422312	6.857	6.261	6.066	
corte	22.829097	5.875	4.474	3.819	
planeta	14.185046	4.715	5.773	5.842	
máquina	17.609534	5.987	5.561	4.246	
cima	7.457225	4.687	5.644	4.888	
grado	12.444368	5.613	2.907	3.214	
romano	2.235189	5.199	6.053	5.482	
escrito	21.946395	6.542	4.895	4.744	
actriz	5.820394	6.123	5.684	6.010	
mitad	37.320740	6.128	5.168	4.853	
reparar	5.212145	5.704	4.431	3.763	
entrar	59.603402	6.594	5.487	4.960	
estación	19.852141	6.328	5.379	3.845	
tráfico	11.403422	5.853	5.877	5.234	
asiento	20.428246	6.336	6.004	5.600	
ficha	2.972011	6.079	5.873	5.312	
satélite	3.874493	4.547	4.938	4.783	
justificar	2.502225	6.085	2.921	3.763	
baño	35.436653	6.311	6.325	5.435	
medias	7.711898	6.074	5.887	4.668	
niña	35.488577	6.901	6.316	6.254	
